Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 72,734.675395,91.152493,,,,,,,,,,,
Block 72,715.716278,67.902721,,,,,,,,,,,
Block 72,707.331291,74.590022,,,,,,,,,,,
Block 73,715.716278,67.902721,,,,,,,,,0.000000,0.000000,No
Block 73,734.675395,91.152493,,,,,,,,,,,
Block 73,743.413598,83.867494,,,,,,,,,,,
Block 73,723.954071,61.034912,,,,,,,,,,,
Block 73,715.716278,67.902721,,,,,,,,,,,
Block 74,723.954071,61.034912,,,,,,,,,0.000000,0.000000,No
Block 74,743.413598,83.867494,,,,,,,,,,,
Block 74,751.991542,76.394458,,,,,,,,,,,
Block 74,732.040782,53.989834,,,,,,,,,,,
Block 74,723.954071,61.034912,,,,,,,,,,,
Block 75,732.040782,53.989834,,,,,,,,,0.000000,0.000000,No
Block 75,751.991542,76.394458,,,,,,,,,,,
Block 75,760.405183,68.736909,,,,,,,,,,,
Block 75,739.972599,46.770811,,,,,,,,,,,
Block 75,732.040782,53.989834,,,,,,,,,,,
Block 76,739.972599,46.770811,,,,,,,,,0.000000,0.000000,No
Block 76,760.405183,68.736909,,,,,,,,,,,
Block 76,768.650552,60.898460,,,,,,,,,,,
Block 76,747.745780,39.381246,,,,,,,,,,,
Block 76,739.972599,46.770811,,,,,,,,,,,
Block 77,747.745780,39.381246,,,,,,,,,0.000000,0.000000,No
Block 77,768.650552,60.898460,,,,,,,,,,,
Block 77,776.723760,52.882806,,,,,,,,,,,
Block 77,755.356660,31.824624,,,,,,,,,,,
Block 77,747.745780,39.381246,,,,,,,,,,,
Block 78,755.356660,31.824624,,,,,,,,,0.000000,0.000000,No
Block 78,776.723760,52.882806,,,,,,,,,,,
Block 78,784.621001,44.693729,,,,,,,,,,,
Block 78,762.801649,24.104511,,,,,,,,,,,
Block 78,755.356660,31.824624,,,,,,,,,,,
Block 79,762.801649,24.104511,,,,,,,,,0.000000,0.000000,No
Block 79,784.621001,44.693729,,,,,,,,,,,
Block 79,792.338548,36.335090,,,,,,,,,,,
Block 79,770.077236,16.224546,,,,,,,,,,,
Block 79,762.801649,24.104511,,,,,,,,,,,
Block 80,770.077236,16.224546,,,,,,,,,0.000000,0.000000,No
Block 80,792.338548,36.335090,,,,,,,,,,,
Block 80,799.872764,27.810831,,,,,,,,,,,
Block 80,777.179990,8.188445,,,,,,,,,,,
Block 80,770.077236,16.224546,,,,,,,,,,,
Block 81,777.179990,8.188445,,,,,,,,,0.000000,0.000000,No
Block 81,799.872764,27.810831,,,,,,,,,,,
Block 81,807.220094,19.124972,,,,,,,,,,,
Block 81,784.106561,0.000000,,,,,,,,,,,
Block 81,777.179990,8.188445,,,,,,,,,,,
